#timestamp	rawEeg
1303683507.689811	58
1303683507.699348	71
1303683507.699770	69
1303683507.700131	45
1303683507.700492	19
1303683507.700859	7
1303683507.705656	16
1303683507.706071	34
1303683507.706436	49
1303683507.706754	52
1303683507.715615	42
1303683507.715996	32
1303683507.716460	36
1303683507.716829	36
1303683507.717204	11
1303683507.723876	2
1303683507.724144	12
1303683507.724392	29
1303683507.726113	37
1303683507.732687	37
1303683507.732980	45
1303683507.733299	49
1303683507.733695	44
1303683507.733928	41
1303683507.740946	37
1303683507.741214	52
1303683507.741592	64
1303683507.741869	52
1303683507.750535	33
1303683507.752065	37
1303683507.752349	64
1303683507.752591	77
1303683507.752817	81
1303683507.759386	77
1303683507.759766	59
1303683507.760031	35
1303683507.760287	16
1303683507.767124	0
1303683507.767889	3
1303683507.768169	27
1303683507.768440	51
1303683507.768717	53
1303683507.777438	55
1303683507.777746	60
1303683507.778067	65
1303683507.778446	56
1303683507.785019	37
1303683507.785443	21
1303683507.785699	17
1303683507.785967	25
1303683507.786242	45
1303683507.793185	69
1303683507.793646	75
1303683507.793906	61
1303683507.794179	43
1303683507.802815	32
1303683507.803131	27
1303683507.803419	21
1303683507.803829	2
1303683507.806232	-22
1303683507.810734	-36
1303683507.811121	-34
1303683507.811528	-3
1303683507.811927	54
1303683507.821653	102
1303683507.821963	108
1303683507.822209	87
1303683507.822496	73
1303683507.822761	91
1303683507.829400	131
1303683507.829655	161
1303683507.829921	164
1303683507.830204	139
1303683507.838870	113
1303683507.839190	99
1303683507.839567	91
1303683507.839943	81
1303683507.840391	70
1303683507.846976	85
1303683507.847271	116
1303683507.847602	135
1303683507.854489	139
1303683507.854754	156
1303683507.855006	140
1303683507.855386	91
1303683507.855633	56
1303683507.862547	44
1303683507.862827	48
1303683507.863094	54
1303683507.863556	57
1303683507.872250	58
1303683507.872686	55
1303683507.872943	48
1303683507.873235	41
1303683507.873503	41
1303683507.880618	42
1303683507.880908	36
1303683507.881211	26
1303683507.881487	26
1303683507.890276	33
1303683507.890678	38
1303683507.890931	27
1303683507.891207	19
1303683507.891477	17
1303683507.898237	22
1303683507.898646	20
1303683507.899009	2
1303683507.899502	-10
1303683507.906583	-4
1303683507.906974	10
1303683507.907361	17
1303683507.907743	21
1303683507.910156	19
1303683507.916893	6
1303683507.917345	-7
1303683507.917659	-19
1303683507.917895	-22
1303683507.924410	-14
1303683507.924684	-6
1303683507.924950	4
1303683507.925706	19
1303683507.926156	35
1303683507.932694	43
1303683507.932990	42
1303683507.933387	27
1303683507.933643	9
1303683507.942389	-3
1303683507.942790	-2
1303683507.943062	4
1303683507.943333	-3
1303683507.943591	-8
1303683507.950382	4
1303683507.950620	21
1303683507.950902	28
1303683507.951192	25
1303683507.959715	10
1303683507.960005	-8
1303683507.960287	-24
1303683507.960562	-26
1303683507.960962	-20
1303683507.967519	-14
1303683507.967773	-2
1303683507.968036	8
1303683507.968448	1
1303683507.977174	-12
1303683507.977558	-18
1303683507.978085	-8
1303683507.978365	-5
1303683507.978631	-8
1303683507.985213	-23
1303683507.985467	-33
1303683507.985729	-29
1303683507.985999	-26
1303683507.994540	-22
1303683507.994836	-14
1303683507.995104	1
1303683507.995513	17
1303683507.995771	13
1303683508.002354	18
1303683508.002607	41
1303683508.002897	73
1303683508.003143	97
1303683508.011711	100
1303683508.011979	109
1303683508.012418	128
1303683508.012673	133
1303683508.012940	132
1303683508.021581	120
1303683508.022032	92
1303683508.022300	72
1303683508.022628	58
1303683508.029388	52
1303683508.029627	57
1303683508.029918	73
1303683508.030196	70
1303683508.032549	35
1303683508.037175	4
1303683508.038067	-19
1303683508.038475	-18
1303683508.038731	6
1303683508.047346	9
1303683508.047791	-1
1303683508.048049	1
1303683508.048344	23
1303683508.048661	45
1303683508.055443	58
1303683508.055779	73
1303683508.056013	70
1303683508.056304	28
1303683508.065191	-2
1303683508.065546	7
1303683508.065925	28
1303683508.066165	35
1303683508.066441	24
1303683508.073268	11
1303683508.073667	6
1303683508.074031	13
1303683508.074495	18
1303683508.081163	3
1303683508.082727	-13
1303683508.083101	-24
1303683508.083404	-33
1303683508.083799	-22
1303683508.090355	3
1303683508.090610	24
1303683508.090879	32
1303683508.091239	27
1303683508.099895	22
1303683508.100203	11
1303683508.100608	-6
1303683508.100864	-18
1303683508.101255	-9
1303683508.107864	11
1303683508.108188	35
1303683508.108500	45
1303683508.108871	50
1303683508.117743	45
1303683508.118154	38
1303683508.118568	42
1303683508.118841	48
1303683508.119098	44
1303683508.125653	29
1303683508.125922	22
1303683508.126207	25
1303683508.126601	32
1303683508.135278	35
1303683508.136418	39
1303683508.136864	50
1303683508.137184	56
1303683508.137508	57
1303683508.142239	44
1303683508.144670	25
1303683508.144982	26
1303683508.145293	48
1303683508.151972	69
1303683508.152387	88
1303683508.152775	81
1303683508.153090	53
1303683508.153409	26
1303683508.161972	16
1303683508.162287	1
1303683508.162607	-21
1303683508.162920	-29
1303683508.169429	-25
1303683508.169746	-19
1303683508.170061	-6
1303683508.170380	-3
1303683508.172762	0
1303683508.177679	6
1303683508.177999	3
1303683508.178535	-4
1303683508.178855	-7
1303683508.187429	-1
1303683508.187904	20
1303683508.188237	45
1303683508.188571	66
1303683508.188976	75
1303683508.195492	73
1303683508.195930	66
1303683508.196241	66
1303683508.196557	58
1303683508.203356	45
1303683508.203996	44
1303683508.204478	49
1303683508.204792	48
1303683508.205103	44
1303683508.213734	51
1303683508.214153	44
1303683508.214557	34
1303683508.214995	26
1303683508.223601	22
1303683508.223920	24
1303683508.224231	35
1303683508.224547	38
1303683508.224862	28
1303683508.231872	24
1303683508.232189	32
1303683508.232505	40
