#timestamp	poorSignalLevel	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	meditation
1303683316.721347	0	12204544	6563840	6300416	7016192	8259840	15164160	81	69
1303683317.715961	0	10127104	15408896	9449472	6755840	14880000	11176960	70	67
1303683318.709981	0	12793344	1855744	12468480	9054208	11602944	15758336	75	80
1303683319.700924	0	5837568	15144448	14362368	13577728	7603456	9263616	81	74
1303683320.695763	0	5443328	11476736	10290944	13179136	2623488	8215552	90	64
1303683321.690712	0	9068288	14243072	6827264	14883840	12325120	360704	90	64
1303683322.688365	0	6052864	10563328	5052928	14336	15927808	8358656	93	64
1303683323.676731	0	7299584	2508544	8659968	5054976	6490624	16604160	80	74
1303683324.673772	0	4527360	3221760	2102528	6755072	2623744	7368192	77	78
1303683325.667609	0	12977664	10751744	853760	8131072	7602432	3940096	80	60
