#timestamp	poorSignalLevel	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	meditation
1303683537.411398	0	14098944	15539968	6912	10759936	7540480	13386752	57	80
1303683538.400033	0	664320	11677184	2124544	12336896	1969408	1987072	61	70
1303683539.396001	0	16134912	15414784	1580800	7217152	15665152	6110464	56	64
1303683540.390600	0	15350016	4685056	13458944	11475456	9311488	12467456	53	66
1303683541.387206	0	16462848	4461568	10690304	12721152	9570048	6958080	50	69
1303683542.380289	0	13699584	7617280	7865088	2761216	10684160	8856064	50	81
1303683543.372467	0	7482880	7942912	1515776	7024128	1247488	11610112	60	88
1303683544.366958	0	15494144	16457216	10564608	7088128	1314048	6433536	66	88
1303683545.362772	0	6561024	7059968	5510400	9009152	13568000	5251328	74	91
1303683546.358465	0	2048	16556544	2035200	6175744	9966848	2114048	69	93
