#timestamp	rawEeg
1303683536.916755	51
1303683536.923408	41
1303683536.923679	40
1303683536.923950	49
1303683536.924213	45
1303683536.931102	32
1303683536.931351	23
1303683536.931628	28
1303683536.931894	34
1303683536.934697	36
1303683536.941297	37
1303683536.941606	40
1303683536.941876	43
1303683536.942122	41
1303683536.948893	35
1303683536.949270	11
1303683536.949862	-13
1303683536.950132	-36
1303683536.950402	-41
1303683536.959052	-27
1303683536.959328	-3
1303683536.959647	10
1303683536.959880	8
1303683536.966400	-5
1303683536.966661	-24
1303683536.966943	-26
1303683536.967197	-23
1303683536.969508	-30
1303683536.975967	-37
1303683536.976222	-26
1303683536.976603	-17
1303683536.976856	-18
1303683536.985441	-17
1303683536.985765	-7
1303683536.986049	7
1303683536.986993	12
1303683536.987277	-1
1303683536.993758	-23
1303683536.994012	-35
1303683536.994323	-38
1303683536.994703	-29
1303683537.001170	-9
1303683537.001450	21
1303683537.001732	44
1303683537.002006	52
1303683537.004459	42
1303683537.008902	38
1303683537.009295	40
1303683537.009689	44
1303683537.009958	54
1303683537.018603	58
1303683537.018901	60
1303683537.019173	56
1303683537.019520	54
1303683537.019790	51
1303683537.028314	37
1303683537.028566	23
1303683537.028836	12
1303683537.029085	2
1303683537.036102	-19
1303683537.036362	-42
1303683537.036638	-52
1303683537.036885	-45
1303683537.039196	-42
1303683537.044023	-37
1303683537.044269	-22
1303683537.044541	-9
1303683537.044780	-3
1303683537.055408	3
1303683537.055625	12
1303683537.055811	32
1303683537.055992	54
1303683537.056170	69
1303683537.062635	74
1303683537.062915	82
1303683537.063184	89
1303683537.063575	89
1303683537.072078	75
1303683537.072469	54
1303683537.072725	40
1303683537.073017	26
1303683537.073288	17
1303683537.079775	20
1303683537.079974	38
1303683537.080155	58
1303683537.080335	73
1303683537.088847	71
1303683537.089142	48
1303683537.089406	25
1303683537.089644	16
1303683537.089952	21
1303683537.098457	39
1303683537.098859	54
1303683537.099112	65
1303683537.099356	77
1303683537.105976	77
1303683537.106286	59
1303683537.106559	45
1303683537.106823	44
1303683537.109155	42
1303683537.115596	32
1303683537.116681	20
1303683537.116909	17
1303683537.117117	26
1303683537.123685	48
1303683537.123984	70
1303683537.124257	92
1303683537.124539	102
1303683537.126896	93
1303683537.133399	75
1303683537.133635	58
1303683537.133852	51
1303683537.134143	48
1303683537.140699	42
1303683537.141169	43
1303683537.141673	38
1303683537.141943	20
1303683537.144273	2
1303683537.150731	-1
1303683537.150980	6
1303683537.151262	12
1303683537.151544	12
1303683537.160209	16
1303683537.160592	19
1303683537.160888	24
1303683537.161140	25
1303683537.161417	20
1303683537.167877	10
1303683537.168112	13
1303683537.168486	17
1303683537.168739	6
1303683537.177243	-1
1303683537.177545	-9
1303683537.177847	-17
1303683537.178086	-12
1303683537.178276	-6
1303683537.184777	2
1303683537.185029	8
1303683537.185301	5
1303683537.185579	-3
1303683537.194097	-18
1303683537.194356	-25
1303683537.194616	-8
1303683537.194909	19
1303683537.197296	35
1303683537.202239	36
1303683537.202510	26
1303683537.202762	19
1303683537.203087	21
1303683537.211674	26
1303683537.211964	20
1303683537.212239	18
1303683537.212512	32
1303683537.212779	53
1303683537.219236	59
1303683537.219489	54
1303683537.219752	41
1303683537.220028	16
1303683537.228633	-20
