#timestamp	poorSignalLevel	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	meditation
1303683508.579273	0	3410176	3846400	14490624	7026944	10226432	7822080	37	57
1303683509.575104	0	5836288	6122496	10358272	4657920	10881280	11481344	41	81
1303683510.569590	0	11355904	6298112	9650432	13507584	1773312	11156480	41	88
1303683511.560926	0	9247232	8728320	13313024	16264960	15337984	16527360	54	91
1303683512.556035	0	15676928	9383424	1855744	8594176	9438720	13906432	54	84
1303683513.550585	0	1609216	15065344	2575616	7415552	15599616	12144384	51	83
1303683514.546625	0	5729024	5051904	12984576	5714688	14550784	7943680	57	90
1303683515.542570	0	3539968	9184512	6557440	13703424	4392448	13191680	51	84
1303683516.531486	0	8789248	1649664	14293504	4009984	4393728	11355136	54	83
1303683517.527472	0	8852736	1115904	10227968	8996608	15142400	12067328	81	66
