#timestamp	poorSignalLevel	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	meditation
1303683553.313114	0	5660160	15353856	6248960	5646848	4916736	11087872	29	83
1303683554.308197	0	3614464	7744256	2173696	6429696	4984832	16270848	43	78
1303683555.304689	0	668160	9776640	11080192	2959616	1117440	802816	48	78
1303683556.294432	0	13192448	16131328	11671296	16396800	4461824	4535808	57	83
1303683557.288038	0	3572224	7343616	15999744	8988928	263936	8664576	57	83
1303683558.284118	0	110848	1783296	2498560	10180864	6360320	10100992	63	90
1303683559.280286	0	12001024	15535616	736000	4466688	3999744	10431488	67	81
1303683560.273710	0	8280064	14693888	11151104	6625536	6818304	16061184	61	83
1303683561.265053	0	7543552	7545088	4795136	6561024	6819840	13970432	64	77
1303683562.259759	0	15353856	5638144	10760704	5118208	10225920	1774080	56	64
