#timestamp	rawEeg
1303683552.354889	42
1303683552.361406	39
1303683552.361655	40
1303683552.361927	42
1303683552.362193	39
1303683552.364554	39
1303683552.369282	40
1303683552.369704	45
1303683552.369892	54
1303683552.370060	51
1303683552.378640	43
1303683552.378938	37
1303683552.379265	19
1303683552.379634	0
1303683552.386861	6
1303683552.387146	21
1303683552.387330	32
1303683552.387514	39
1303683552.396024	41
1303683552.396312	51
1303683552.396595	68
1303683552.396831	74
1303683552.399273	59
1303683552.403825	36
1303683552.404175	22
1303683552.406487	28
1303683552.406781	34
1303683552.413235	38
1303683552.413511	49
1303683552.413772	53
1303683552.414045	54
1303683552.416380	52
1303683552.422863	37
1303683552.423135	20
1303683552.423409	17
1303683552.423655	12
1303683552.432320	5
1303683552.432748	10
1303683552.433022	27
1303683552.433285	33
1303683552.433563	19
1303683552.440057	8
1303683552.440422	20
1303683552.440670	35
1303683552.440902	34
1303683552.449577	26
1303683552.449873	22
1303683552.450253	17
1303683552.450486	6
1303683552.450773	2
1303683552.459318	11
1303683552.459590	24
1303683552.459870	19
1303683552.460131	-2
1303683552.467154	-22
1303683552.467457	-39
1303683552.467713	-40
1303683552.467994	-28
1303683552.468253	-19
1303683552.483429	-18
1303683552.484183	-28
1303683552.484641	-40
1303683552.484877	-39
1303683552.485170	-28
1303683552.485447	-22
1303683552.485718	-19
1303683552.485983	-8
1303683552.486250	9
1303683552.493061	27
1303683552.493599	44
1303683552.493995	60
1303683552.494382	67
1303683552.503205	65
1303683552.503597	66
1303683552.504004	70
1303683552.505171	67
1303683552.505505	59
1303683552.510177	66
1303683552.510632	75
1303683552.510965	83
1303683552.511224	77
1303683552.518147	73
1303683552.518405	80
1303683552.518673	87
1303683552.519927	77
1303683552.520243	58
1303683552.526869	49
1303683552.527359	48
1303683552.529687	52
1303683552.529948	60
1303683552.536812	72
1303683552.537315	74
1303683552.537763	61
1303683552.540091	39
1303683552.540342	18
1303683552.544742	6
1303683552.545004	3
1303683552.545240	3
1303683552.545472	4
1303683552.554034	2
1303683552.554309	16
1303683552.554765	39
1303683552.555030	45
1303683552.555292	37
1303683552.561774	24
1303683552.562061	16
1303683552.562326	11
1303683552.562821	13
1303683552.571445	10
1303683552.571796	8
1303683552.572065	13
1303683552.572330	18
1303683552.572601	7
1303683552.581119	-3
1303683552.581364	-4
1303683552.581712	-7
1303683552.581947	-11
1303683552.590436	-11
1303683552.590711	-2
1303683552.590954	10
1303683552.591231	20
1303683552.591504	26
1303683552.598219	13
1303683552.598599	-4
1303683552.598963	-9
1303683552.599323	-9
1303683552.605896	-6
1303683552.606184	-3
1303683552.606540	-1
1303683552.606805	-7
1303683552.607072	-24
1303683552.613860	-28
1303683552.614493	-6
1303683552.614761	28
1303683552.615032	53
1303683552.624004	52
1303683552.624448	44
1303683552.624762	52
1303683552.625032	40
1303683552.625300	25
1303683552.631875	39
1303683552.632264	70
1303683552.632751	88
1303683552.633085	74
1303683552.641685	42
1303683552.641941	20
1303683552.642223	25
1303683552.642494	36
1303683552.642758	25
1303683552.651317	19
1303683552.651590	21
1303683552.651854	27
1303683552.652100	26
1303683552.658769	10
1303683552.659495	-14
1303683552.660025	-33
1303683552.660483	-36
1303683552.660996	-43
1303683552.667508	-51
1303683552.667967	-49
1303683552.668238	-35
1303683552.668491	-5
1303683552.677566	22
1303683552.677995	44
1303683552.678344	54
1303683552.678585	43
1303683552.678879	23
1303683552.685458	7
1303683552.685711	1
1303683552.685958	1
1303683552.686235	7
1303683552.692809	22
1303683552.693396	41
1303683552.693651	39
1303683552.693899	11
1303683552.696230	-17
1303683552.702696	-19
1303683552.702927	-3
1303683552.703226	12
1303683552.703520	9
1303683552.710727	-5
1303683552.710981	-12
1303683552.711250	-4
1303683552.711512	6
1303683552.711845	0
1303683552.720590	-17
1303683552.720847	-26
1303683552.721102	-34
1303683552.721362	-42
1303683552.729925	-49
1303683552.730251	-39
1303683552.730508	-29
1303683552.730761	-33
1303683552.731022	-33
1303683552.737530	-21
1303683552.737810	-11
1303683552.738083	-8
1303683552.738341	-8
1303683552.746987	-9
1303683552.747230	-7
1303683552.747515	5
1303683552.747768	13
1303683552.748052	21
1303683552.754895	36
1303683552.755405	55
1303683552.755826	65
1303683552.756219	53
1303683552.763147	38
1303683552.763388	37
1303683552.763650	52
1303683552.763928	59
1303683552.766235	53
1303683552.771327	49
1303683552.771712	54
1303683552.772054	60
1303683552.772298	57
1303683552.780822	49
1303683552.781088	41
1303683552.781477	40
1303683552.781811	40
1303683552.782077	36
1303683552.790760	32
1303683552.791045	40
1303683552.791343	60
1303683552.791576	75
1303683552.798355	74
1303683552.798754	67
1303683552.799082	56
1303683552.799443	40
1303683552.799763	29
1303683552.806253	43
1303683552.806514	65
1303683552.806770	61
1303683552.807052	42
1303683552.815589	37
1303683552.815835	48
1303683552.816117	58
1303683552.816551	49
1303683552.816799	26
1303683552.825368	11
1303683552.825666	12
1303683552.825935	19
1303683552.826207	21
1303683552.834726	23
1303683552.834996	35
1303683552.835261	44
1303683552.835542	42
1303683552.835808	40
1303683552.842246	38
1303683552.842535	36
1303683552.843002	22
1303683552.844191	4
1303683552.850818	-3
1303683552.851098	1
1303683552.851390	21
1303683552.851658	38
1303683552.854044	42
1303683552.860499	42
1303683552.860772	37
1303683552.861042	24
1303683552.861294	21
1303683552.867926	35
1303683552.868316	51
1303683552.868772	53
1303683552.871133	44
1303683552.871406	36
1303683552.875858	38
1303683552.876252	42
1303683552.878803	35
1303683552.879143	22
1303683552.885604	19
1303683552.885837	37
1303683552.886087	58
1303683552.886551	72
1303683552.886814	67
1303683552.895576	50
1303683552.895831	29
1303683552.896109	22
1303683552.896346	17
1303683552.902806	12
1303683552.903079	11
1303683552.903357	5
1303683552.903751	-6
1303683552.904064	-12
1303683552.912636	-1
1303683552.912931	21
1303683552.913202	36
1303683552.913456	34
1303683552.922013	23
1303683552.922497	20
1303683552.922811	23
1303683552.923096	19
1303683552.923375	2
1303683552.927877	-12
1303683552.928334	-1
1303683552.928987	35
1303683552.929367	57
1303683552.937891	48
1303683552.938156	27
1303683552.938423	26
1303683552.938683	35
1303683552.941005	34
1303683552.947595	27
1303683552.947828	33
1303683552.948108	44
1303683552.948359	56
1303683552.956873	64
1303683552.957119	64
1303683552.957389	59
1303683552.957648	50
1303683552.957926	36
1303683552.964511	18
1303683552.964742	7
1303683552.965014	5
1303683552.965275	4
1303683552.972111	8
1303683552.972365	18
1303683552.972628	13
1303683552.972881	0
1303683552.975210	-14
1303683552.981664	-27
1303683552.981933	-29
1303683552.982197	-18
1303683552.982468	-2
1303683552.990981	6
1303683552.991355	4
1303683552.991658	7
1303683552.991887	20
1303683552.992151	33
1303683552.998653	39
1303683552.998905	48
1303683552.999187	53
1303683552.999525	56
1303683553.008054	64
1303683553.008290	59
1303683553.008830	39
1303683553.009097	22
1303683553.009364	24
1303683553.016093	40
1303683553.016470	55
1303683553.017015	48
1303683553.017246	32
1303683553.025799	20
1303683553.026049	20
1303683553.026359	20
1303683553.026691	6
1303683553.026958	-2
1303683553.033453	9
1303683553.033713	25
1303683553.033992	32
1303683553.034261	20
1303683553.042785	10
1303683553.043016	13
1303683553.044167	32
1303683553.044427	41
1303683553.044693	49
1303683553.051135	59
1303683553.051431	72
1303683553.051704	70
1303683553.051949	55
1303683553.060450	49
1303683553.060738	59
1303683553.060985	71
1303683553.061265	64
1303683553.063600	45
1303683553.068128	34
1303683553.068367	32
1303683553.068638	36
1303683553.068918	40
1303683553.077682	39
1303683553.078504	32
1303683553.078763	18
1303683553.079030	6
1303683553.079295	-12
1303683553.087787	-36
1303683553.088389	-35
1303683553.088653	-19
1303683553.088933	-6
1303683553.097486	2
1303683553.097745	10
1303683553.098023	9
1303683553.098290	-3
1303683553.098550	-22
1303683553.103172	-40
1303683553.103449	-43
1303683553.103767	-36
1303683553.104049	-24
1303683553.112590	-11
1303683553.112881	-3
1303683553.113131	-3
1303683553.113416	-5
1303683553.115741	0
1303683553.122187	9
1303683553.122455	26
1303683553.122734	33
1303683553.122990	21
1303683553.131623	11
1303683553.131978	10
1303683553.132232	22
1303683553.132501	39
1303683553.132762	48
1303683553.139597	51
1303683553.139865	54
1303683553.140155	39
1303683553.140423	18
1303683553.148976	10
1303683553.149274	16
1303683553.149563	17
1303683553.149828	18
1303683553.150097	22
1303683553.156549	24
1303683553.156788	21
1303683553.157019	10
1303683553.157668	-1
1303683553.166246	-20
1303683553.166521	-22
1303683553.166774	-19
1303683553.167033	-8
1303683553.173513	7
1303683553.173775	36
1303683553.174041	64
1303683553.174302	64
1303683553.182866	49
1303683553.183095	38
1303683553.183359	34
1303683553.183627	32
1303683553.185946	34
1303683553.192393	38
1303683553.192665	44
1303683553.192982	16
1303683553.201676	-9
1303683553.201909	-28
1303683553.202193	-41
1303683553.202465	-49
1303683553.202727	-39
1303683553.209193	-22
1303683553.209623	3
1303683553.209881	20
1303683553.210131	19
1303683553.216809	11
1303683553.217194	16
1303683553.219533	36
1303683553.219762	56
1303683553.220042	59
1303683553.226730	67
1303683553.227081	70
1303683553.227352	55
1303683553.227626	37
1303683553.234078	32
1303683553.234349	49
1303683553.234629	65
1303683553.234895	59
1303683553.237218	38
1303683553.244089	11
1303683553.244501	1
1303683553.244735	8
1303683553.244995	21
1303683553.253697	25
1303683553.253913	28
1303683553.254131	35
1303683553.254349	42
1303683553.254574	43
1303683553.261127	37
1303683553.261502	26
1303683553.261749	16
1303683553.262028	8
1303683553.270592	11
1303683553.270859	25
1303683553.271110	52
1303683553.271391	80
1303683553.271636	86
1303683553.278099	70
1303683553.278330	48
1303683553.278613	21
1303683553.278860	-1
1303683553.287355	-18
1303683553.287636	-26
1303683553.287886	-25
1303683553.288161	-20
1303683553.290500	-17
1303683553.295119	-21
1303683553.295640	-28
1303683553.295886	-34
1303683553.296106	-27
1303683553.304854	-26
1303683553.305141	-27
1303683553.305594	-22
1303683553.305854	-9
1303683553.306118	-3
1303683553.312580	2
1303683553.312846	10
1303683553.320449	18
1303683553.320685	22
1303683553.325476	40
1303683553.325779	53
1303683553.325984	48
1303683553.326203	38
1303683553.332045	43
1303683553.332256	53
1303683553.332458	64
1303683553.332659	64
1303683553.340778	52
1303683553.340987	36
1303683553.341193	20
1303683553.341393	8
1303683553.341590	5
1303683553.350222	7
1303683553.350423	17
1303683553.350621	33
1303683553.350818	50
1303683553.357441	54
1303683553.357690	57
1303683553.357890	60
1303683553.358099	45
1303683553.360391	26
1303683553.365160	27
1303683553.365480	36
1303683553.365771	49
1303683553.365989	58
1303683553.374985	61
1303683553.375182	70
1303683553.375868	73
1303683553.376953	68
1303683553.377321	58
1303683553.385149	52
1303683553.385454	40
1303683553.385678	32
1303683553.385896	22
1303683553.392398	23
1303683553.392693	35
1303683553.392965	48
1303683553.393204	41
1303683553.395572	18
1303683553.400257	-10
1303683553.400521	-29
1303683553.400771	-26
1303683553.401035	-9
1303683553.409728	3
1303683553.410425	5
1303683553.410697	2
1303683553.410965	-1
1303683553.411234	6
1303683553.417759	21
1303683553.418274	21
1303683553.418781	9
1303683553.419028	-6
1303683553.427601	-28
1303683553.427882	-45
1303683553.428133	-41
1303683553.428436	-23
1303683553.428638	-7
1303683553.437158	8
1303683553.437434	22
1303683553.437805	21
1303683553.438059	3
1303683553.444550	-18
1303683553.444799	-35
1303683553.445071	-42
1303683553.445606	-51
1303683553.447919	-51
1303683553.454411	-39
1303683553.454687	-23
1303683553.454955	-9
1303683553.455224	4
1303683553.463733	21
1303683553.463965	24
1303683553.464191	21
1303683553.464503	10
1303683553.464743	2
1303683553.471303	11
1303683553.471588	37
1303683553.471857	57
1303683553.472120	60
1303683553.480658	49
1303683553.480890	33
1303683553.481266	23
1303683553.481618	20
1303683553.481888	19
1303683553.488388	23
1303683553.488641	32
1303683553.488920	25
1303683553.489189	21
1303683553.497723	20
1303683553.497996	28
1303683553.498248	51
1303683553.498543	56
1303683553.498816	34
1303683553.505290	17
1303683553.505601	16
1303683553.505857	28
1303683553.506118	40
1303683553.514648	37
1303683553.514941	35
1303683553.515191	33
1303683553.515628	21
1303683553.515840	-4
1303683553.524392	-35
1303683553.524644	-59
1303683553.524898	-71
1303683553.525185	-62
1303683553.533700	-54
1303683553.533975	-42
1303683553.534229	-20
1303683553.534514	1
1303683553.534772	17
1303683553.541222	28
1303683553.541618	36
1303683553.541940	28
1303683553.542206	32
1303683553.549180	55
1303683553.549807	75
1303683553.550065	82
1303683553.550384	68
1303683553.552711	53
1303683553.561209	41
1303683553.561503	29
1303683553.561775	22
1303683553.562048	22
1303683553.566444	28
1303683553.566712	42
1303683553.566985	57
1303683553.567253	59
1303683553.569579	42
1303683553.576032	28
1303683553.576356	36
1303683553.576791	51
1303683553.577041	51
1303683553.585597	42
1303683553.585884	41
1303683553.586133	44
1303683553.586414	53
1303683553.586664	68
1303683553.593151	74
1303683553.593587	68
1303683553.593856	56
1303683553.594130	55
1303683553.602647	68
1303683553.602940	69
1303683553.603174	55
1303683553.603685	37
1303683553.603989	27
1303683553.610482	25
1303683553.610751	32
1303683553.610982	49
1303683553.611466	58
1303683553.620002	56
1303683553.620256	45
1303683553.620592	35
1303683553.620876	17
1303683553.621150	-1
1303683553.627649	-6
1303683553.627946	-1
1303683553.628208	16
1303683553.628572	35
1303683553.637081	52
1303683553.637383	50
1303683553.637771	29
1303683553.638044	21
1303683553.638295	24
1303683553.645514	27
1303683553.645840	22
1303683553.646192	18
1303683553.646505	10
1303683553.656622	8
1303683553.656857	11
1303683553.657134	7
1303683553.657424	1
1303683553.657684	6
1303683553.666274	7
1303683553.666623	6
1303683553.666937	10
1303683553.667205	19
1303683553.671672	19
1303683553.671992	21
1303683553.672267	33
1303683553.672527	42
1303683553.674860	45
1303683553.681397	37
1303683553.681778	23
1303683553.682049	12
1303683553.682349	9
1303683553.691032	16
1303683553.691426	13
1303683553.691796	5
1303683553.694232	2
1303683553.694707	10
1303683553.697138	38
1303683553.697410	65
1303683553.697678	67
1303683553.697950	42
1303683553.706819	17
1303683553.707198	8
1303683553.707562	24
1303683553.708067	40
1303683553.708305	40
1303683553.715032	33
1303683553.715378	39
1303683553.715776	58
1303683553.716064	60
1303683553.724673	36
1303683553.724955	17
1303683553.725247	25
1303683553.725606	39
1303683553.725857	41
1303683553.734450	33
1303683553.734765	28
1303683553.735144	34
1303683553.735554	33
1303683553.742037	37
1303683553.742304	38
1303683553.742666	28
1303683553.742932	12
1303683553.743217	6
1303683553.751808	13
1303683553.752061	26
1303683553.752322	33
1303683553.752637	24
1303683553.761221	2
1303683553.761621	-20
1303683553.761876	-28
1303683553.762132	-41
1303683553.762428	-51
1303683553.767050	-38
1303683553.767414	-10
1303683553.767674	12
1303683553.767947	20
1303683553.776475	8
1303683553.776753	11
1303683553.777008	26
1303683553.777364	18
1303683553.777626	3
1303683553.786192	3
1303683553.786578	10
1303683553.786830	13
1303683553.787098	21
1303683553.794032	32
1303683553.794502	39
1303683553.794760	39
1303683553.795030	43
1303683553.795298	51
1303683553.802122	48
1303683553.802383	40
1303683553.802636	35
1303683553.802923	33
1303683553.811896	36
1303683553.812462	44
1303683553.812730	57
1303683553.812972	58
1303683553.813344	42
1303683553.820566	23
1303683553.820813	13
1303683553.821110	12
1303683553.821387	8
1303683553.830081	-3
1303683553.830566	-17
1303683553.830773	-10
1303683553.830956	2
1303683553.831135	9
