#timestamp	poorSignalLevel	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	meditation
1303683494.662877	0	7014144	10098944	1183488	8785920	4785152	15663104	50	30
1303683495.658201	0	6521856	13952769	15944192	611329	7158784	2967552	51	41
1303683496.651764	0	6428417	12544257	9820161	3130880	9067776	16196096	51	50
1303683497.648286	0	5336576	16338688	11971072	14515712	8399360	12325120	50	53
1303683498.638761	0	16559362	3399938	11555079	8044802	10269696	15358976	44	44
1303683499.634014	0	10640128	13776384	8460544	15673600	2693120	13895424	30	38
1303683500.628217	0	1521664	7680768	11420928	2957824	6491392	5965312	35	41
1303683501.624159	0	5655552	13265152	2684416	7894272	5008128	6952448	34	40
1303683502.613134	0	11476480	6621696	478976	1445120	14745856	6947584	26	35
1303683503.608649	0	8542720	8812800	16160512	10239488	14879232	5311232	38	48
