#timestamp	rawEeg
1303683494.270553	-46
1303683494.279617	-84
1303683494.279864	-105
1303683494.280132	-102
1303683494.280397	-75
1303683494.280674	-59
1303683494.287281	-82
1303683494.287473	-107
1303683494.287655	-91
1303683494.287910	-87
1303683494.298515	-85
1303683494.298739	-66
1303683494.299284	-28
1303683494.299612	-1
1303683494.299963	-10
1303683494.304394	-24
1303683494.304636	-17
1303683494.304868	-9
1303683494.305087	-43
1303683494.312820	-76
1303683494.313137	-53
1303683494.313454	-2
1303683494.313763	8
1303683494.314069	-10
1303683494.322904	-17
1303683494.323308	-8
1303683494.323581	-5
1303683494.323854	-5
1303683494.330472	-4
1303683494.330919	-3
1303683494.331185	3
1303683494.331461	6
1303683494.331727	22
1303683494.339039	39
1303683494.339336	34
1303683494.339617	39
1303683494.339887	35
1303683494.347242	7
1303683494.347875	0
1303683494.348117	8
1303683494.348406	21
1303683494.348654	34
1303683494.357468	58
1303683494.357713	82
1303683494.358036	86
1303683494.358433	57
1303683494.365496	32
1303683494.365934	24
1303683494.366191	32
1303683494.366459	22
1303683494.366730	6
1303683494.373700	2
1303683494.374018	8
1303683494.374355	12
1303683494.374608	-2
1303683494.383304	-22
1303683494.383695	-34
1303683494.383991	-37
1303683494.384352	-44
1303683494.384622	-34
1303683494.391546	-24
1303683494.391922	-21
1303683494.392305	7
1303683494.392779	48
1303683494.401819	71
1303683494.402274	64
1303683494.402553	33
1303683494.402826	17
1303683494.403080	11
1303683494.409691	10
1303683494.410098	16
1303683494.410461	29
1303683494.410840	28
1303683494.417650	20
1303683494.418000	26
1303683494.418373	28
1303683494.418750	24
1303683494.421411	5
1303683494.427996	-33
1303683494.428275	-85
1303683494.428543	-137
1303683494.428813	-156
1303683494.435684	-152
1303683494.435960	-158
1303683494.436962	-219
1303683494.437598	-317
1303683494.437884	-403
1303683494.444611	-435
1303683494.444847	-411
1303683494.445129	-356
1303683494.445399	-297
1303683494.452350	-242
1303683494.452623	-169
1303683494.453308	-94
1303683494.453597	-29
1303683494.453997	45
1303683494.462222	145
1303683494.462613	230
1303683494.462849	249
1303683494.463117	232
1303683494.470242	242
1303683494.470872	235
1303683494.471132	243
1303683494.471409	280
1303683494.471676	321
1303683494.478675	331
1303683494.478936	315
1303683494.479264	295
1303683494.479713	282
1303683494.488546	274
1303683494.488926	263
1303683494.489304	263
1303683494.489661	262
1303683494.490035	257
1303683494.496782	260
1303683494.497127	277
1303683494.497475	291
1303683494.497896	304
1303683494.507352	297
1303683494.507732	291
1303683494.508073	277
1303683494.508449	256
1303683494.508815	242
1303683494.515444	235
1303683494.515705	217
1303683494.516090	170
1303683494.516466	106
1303683494.521116	50
1303683494.521875	8
1303683494.522341	-29
1303683494.522738	-71
1303683494.523510	-90
1303683494.532430	-76
1303683494.532718	-50
1303683494.532996	-8
1303683494.533253	34
1303683494.540432	72
1303683494.540939	124
1303683494.541273	179
1303683494.541530	202
1303683494.541814	195
1303683494.548644	170
1303683494.549002	172
1303683494.549487	200
1303683494.549830	229
1303683494.558511	247
1303683494.558811	233
1303683494.559081	171
1303683494.559398	85
1303683494.559628	22
1303683494.566680	-9
1303683494.566985	-26
1303683494.567849	-34
1303683494.568271	-41
1303683494.576945	-101
1303683494.577230	-200
1303683494.577516	-273
1303683494.577786	-285
1303683494.578056	-258
1303683494.585233	-209
1303683494.585626	-177
1303683494.585985	-173
1303683494.586358	-167
1303683494.593174	-126
1303683494.593457	-56
1303683494.593947	40
1303683494.594383	124
1303683494.594764	178
1303683494.601544	214
1303683494.601830	242
1303683494.602096	250
1303683494.602445	240
1303683494.611207	234
1303683494.611547	237
1303683494.611798	236
1303683494.612051	240
1303683494.618649	241
1303683494.618929	235
1303683494.619196	237
1303683494.619468	224
1303683494.628327	164
1303683494.629619	100
1303683494.630021	70
1303683494.630375	64
1303683494.630754	60
1303683494.637526	84
1303683494.637798	123
1303683494.638072	145
1303683494.638355	140
1303683494.645174	138
1303683494.645459	147
1303683494.645710	149
1303683494.645998	137
1303683494.646240	125
1303683494.653246	122
1303683494.653732	139
1303683494.654094	169
1303683494.654467	184
1303683494.661472	183
1303683494.661919	165
1303683494.662300	138
1303683494.669188	115
1303683494.669404	98
1303683494.676277	82
1303683494.676505	77
1303683494.676727	87
1303683494.676941	81
1303683494.681923	61
1303683494.682175	50
1303683494.682393	55
1303683494.682608	74
1303683494.682821	96
1303683494.689452	84
1303683494.689674	57
1303683494.689899	57
1303683494.690119	73
1303683494.698835	92
1303683494.699021	103
1303683494.699208	122
1303683494.699386	144
1303683494.699594	144
1303683494.706312	128
1303683494.706601	116
1303683494.706829	101
1303683494.707010	93
1303683494.713781	93
1303683494.714074	109
1303683494.714377	124
1303683494.714664	115
1303683494.717034	83
1303683494.724197	52
1303683494.724497	38
1303683494.724754	27
1303683494.725202	8
1303683494.732393	-7
1303683494.732858	-18
1303683494.733156	-40
1303683494.733441	-58
1303683494.733708	-44
1303683494.740817	-20
1303683494.741114	-3
1303683494.741406	2
1303683494.741688	2
1303683494.750532	-2
1303683494.750992	-5
1303683494.751270	7
1303683494.751541	24
1303683494.751787	38
1303683494.758490	43
1303683494.759011	51
1303683494.759427	52
1303683494.759810	41
1303683494.768911	24
1303683494.769966	4
1303683494.770328	-7
1303683494.770694	-10
1303683494.771069	-6
1303683494.775730	0
1303683494.776132	10
1303683494.776529	11
1303683494.777025	3
1303683494.785847	-11
1303683494.786216	-26
1303683494.786705	-30
1303683494.787018	-40
1303683494.787262	-39
1303683494.793812	-33
1303683494.794098	-22
1303683494.794361	-3
1303683494.795323	21
1303683494.802294	25
1303683494.802573	11
1303683494.802982	-6
1303683494.803228	-17
1303683494.803974	-14
1303683494.810648	-6
1303683494.810893	-3
1303683494.811177	-14
1303683494.811433	-17
1303683494.820126	-8
1303683494.820481	2
1303683494.820711	4
1303683494.820977	-9
1303683494.821240	-42
1303683494.830050	-69
1303683494.830408	-74
1303683494.830648	-67
1303683494.830941	-50
1303683494.837692	-45
1303683494.837989	-49
1303683494.838477	-39
1303683494.838907	-30
1303683494.839332	-20
1303683494.846309	-18
1303683494.846691	-25
1303683494.847054	-44
1303683494.847506	-71
1303683494.854626	-87
1303683494.855007	-71
1303683494.855675	-24
1303683494.856055	5
1303683494.856329	9
1303683494.863546	13
1303683494.863825	27
1303683494.864175	36
1303683494.864460	42
1303683494.873294	52
1303683494.873680	55
1303683494.874053	41
1303683494.874441	7
1303683494.874806	-42
1303683494.881493	-82
1303683494.881759	-97
1303683494.882020	-101
1303683494.882343	-118
1303683494.889229	-137
1303683494.889577	-135
1303683494.890127	-121
1303683494.890405	-122
1303683494.890708	-123
1303683494.898842	-109
1303683494.899114	-101
1303683494.899396	-98
1303683494.899658	-108
1303683494.908351	-141
1303683494.908568	-166
1303683494.909126	-165
1303683494.909588	-162
1303683494.909833	-158
1303683494.914319	-137
1303683494.914616	-100
1303683494.914868	-74
1303683494.915177	-74
1303683494.924059	-92
1303683494.924392	-102
1303683494.924716	-88
1303683494.925030	-72
1303683494.927414	-69
1303683494.933924	-73
1303683494.934236	-86
1303683494.934597	-86
1303683494.935006	-73
1303683494.943995	-71
1303683494.944404	-65
1303683494.944796	-62
1303683494.945072	-66
1303683494.945332	-61
1303683494.951925	-59
1303683494.952216	-52
1303683494.952497	-35
1303683494.952797	-10
1303683494.959424	11
1303683494.959839	37
1303683494.960349	55
1303683494.960749	71
1303683494.961096	80
1303683494.969780	83
1303683494.970070	74
1303683494.970349	57
1303683494.970601	48
1303683494.977591	41
1303683494.978023	39
1303683494.978287	37
1303683494.978540	20
1303683494.978817	-17
1303683494.985427	-65
1303683494.985702	-109
1303683494.985960	-137
1303683494.986823	-130
1303683494.995492	-118
1303683494.996014	-136
1303683494.996259	-163
1303683494.996550	-182
1303683494.996819	-177
1303683495.003460	-142
1303683495.003736	-105
1303683495.003990	-76
1303683495.004440	-75
1303683495.011739	-85
1303683495.012075	-74
1303683495.012395	-40
1303683495.012709	6
1303683495.013028	50
1303683495.020881	76
1303683495.021393	97
1303683495.021752	106
1303683495.022146	107
1303683495.028789	99
1303683495.029054	98
1303683495.029363	107
1303683495.029728	100
1303683495.032138	80
1303683495.038889	72
1303683495.039272	87
1303683495.039487	90
1303683495.039664	85
1303683495.046448	61
1303683495.046862	27
1303683495.047134	16
1303683495.047367	18
1303683495.047666	22
1303683495.056495	25
1303683495.056776	27
1303683495.057399	23
1303683495.057676	6
1303683495.064435	-4
1303683495.064757	-2
1303683495.065319	-23
1303683495.065677	-82
1303683495.065914	-133
1303683495.072560	-165
1303683495.072859	-180
1303683495.073134	-182
1303683495.073410	-186
1303683495.082063	-194
1303683495.082378	-189
1303683495.082815	-168
1303683495.083077	-148
1303683495.083360	-139
1303683495.092225	-138
1303683495.092618	-135
1303683495.092971	-123
1303683495.093336	-119
1303683495.100324	-130
1303683495.100645	-141
1303683495.100899	-150
1303683495.101181	-161
1303683495.101437	-169
1303683495.108298	-183
1303683495.108703	-195
1303683495.109137	-189
1303683495.109410	-173
1303683495.116715	-154
1303683495.117080	-152
1303683495.117446	-171
1303683495.117777	-217
1303683495.118037	-267
1303683495.126875	-283
1303683495.127262	-275
1303683495.127588	-266
1303683495.127850	-253
1303683495.134511	-206
1303683495.134864	-150
1303683495.135117	-94
1303683495.136158	-34
1303683495.136628	21
1303683495.143372	70
1303683495.143660	120
1303683495.143941	164
1303683495.144261	185
1303683495.151053	199
1303683495.153404	224
1303683495.153661	267
1303683495.153913	310
1303683495.154199	328
1303683495.160784	329
1303683495.161082	324
1303683495.161365	315
1303683495.161712	299
1303683495.170792	264
1303683495.171221	216
1303683495.171583	167
1303683495.171941	115
1303683495.172285	67
1303683495.176849	36
1303683495.177144	25
1303683495.177551	16
1303683495.178153	10
1303683495.186738	18
1303683495.187056	20
1303683495.187380	23
1303683495.187689	34
1303683495.190072	49
1303683495.196596	54
1303683495.196909	40
1303683495.197368	20
1303683495.197714	1
1303683495.204521	-7
1303683495.205026	-4
1303683495.205348	-7
1303683495.205664	-36
1303683495.205973	-75
1303683495.212636	-99
1303683495.212949	-91
1303683495.213259	-77
1303683495.213576	-59
1303683495.222142	-36
1303683495.222465	-23
1303683495.222773	-27
1303683495.223223	-42
1303683495.223552	-56
1303683495.230379	-55
1303683495.231010	-39
1303683495.231597	-20
1303683495.231931	2
1303683495.238574	28
1303683495.238884	36
1303683495.239191	9
1303683495.239505	-19
1303683495.239814	-30
1303683495.248582	-12
1303683495.248979	19
1303683495.249288	40
1303683495.249602	49
1303683495.256097	54
1303683495.256420	82
1303683495.256736	124
1303683495.257044	155
1303683495.259439	163
1303683495.265980	152
1303683495.266289	134
1303683495.266693	115
1303683495.267090	92
1303683495.274006	75
1303683495.274382	64
1303683495.274708	61
1303683495.275113	75
1303683495.275389	80
1303683495.283930	60
1303683495.284229	32
1303683495.284486	1
1303683495.284774	-19
1303683495.291410	-2
1303683495.291679	42
1303683495.291951	97
1303683495.292225	146
1303683495.294580	182
1303683495.301406	210
1303683495.302657	232
1303683495.302931	250
1303683495.303202	269
1303683495.309648	281
1303683495.309944	283
1303683495.310180	284
1303683495.310492	292
1303683495.310759	306
1303683495.317388	313
1303683495.317669	310
1303683495.318028	294
1303683495.318313	256
1303683495.327123	200
1303683495.327528	166
1303683495.327807	156
1303683495.328057	154
1303683495.328393	156
1303683495.334974	154
1303683495.335274	146
1303683495.335574	135
1303683495.335862	114
1303683495.344634	108
1303683495.344880	133
1303683495.345168	140
1303683495.345445	107
1303683495.345717	65
1303683495.352334	54
1303683495.352664	72
1303683495.352941	98
1303683495.353241	106
1303683495.361960	103
1303683495.362397	115
1303683495.362705	135
1303683495.365037	137
1303683495.365322	114
1303683495.369698	81
1303683495.369970	52
1303683495.370277	28
1303683495.370682	12
1303683495.379388	7
1303683495.379778	8
1303683495.380153	7
1303683495.380386	-1
1303683495.380662	-10
1303683495.387320	-2
1303683495.387755	12
1303683495.388127	22
1303683495.388385	13
1303683495.397164	-3
1303683495.397559	-14
1303683495.397939	-23
1303683495.398329	-33
1303683495.400785	-35
1303683495.405293	-23
1303683495.405579	-1
1303683495.405855	18
1303683495.406136	32
1303683495.414970	56
1303683495.415321	84
1303683495.415579	90
1303683495.415831	86
1303683495.416229	88
1303683495.422808	102
1303683495.423101	123
1303683495.423416	146
1303683495.423767	150
1303683495.430667	137
1303683495.430964	130
1303683495.431227	138
1303683495.431624	151
1303683495.431864	156
1303683495.439079	152
1303683495.439380	149
1303683495.439714	137
1303683495.439999	112
1303683495.448700	69
1303683495.448973	36
1303683495.449249	19
1303683495.449513	9
1303683495.451902	2
1303683495.458560	1
1303683495.458856	10
1303683495.459110	42
1303683495.459380	91
1303683495.466008	133
1303683495.466326	163
1303683495.466580	193
1303683495.466827	208
1303683495.469211	189
1303683495.473812	133
1303683495.474174	60
1303683495.474511	22
1303683495.474901	23
1303683495.483489	45
1303683495.483833	67
1303683495.484231	73
1303683495.484614	76
1303683495.487281	92
1303683495.494048	144
1303683495.494305	203
1303683495.494576	262
1303683495.494886	314
1303683495.501370	370
1303683495.501639	408
1303683495.501889	409
1303683495.502173	371
1303683495.502435	307
1303683495.509135	243
1303683495.509594	200
1303683495.512503	155
1303683495.512903	120
1303683495.519379	106
1303683495.519740	90
1303683495.520006	58
1303683495.520289	-2
1303683495.520555	-69
1303683495.527769	-110
1303683495.528071	-133
1303683495.528442	-139
1303683495.528772	-136
1303683495.537697	-129
1303683495.538057	-120
1303683495.538307	-106
1303683495.538638	-90
1303683495.538947	-87
1303683495.546150	-92
1303683495.546422	-114
1303683495.546703	-137
1303683495.546984	-141
1303683495.554008	-139
1303683495.554517	-135
1303683495.554773	-105
1303683495.555040	-75
1303683495.555304	-65
1303683495.561873	-60
1303683495.562174	-61
1303683495.562535	-62
1303683495.562771	-58
1303683495.571569	-46
1303683495.571964	-34
1303683495.572302	-34
1303683495.572547	-41
1303683495.572811	-28
1303683495.579785	-5
1303683495.580142	-2
1303683495.580526	-34
1303683495.580800	-60
1303683495.590083	-52
1303683495.590588	-26
1303683495.590967	-21
1303683495.591345	-45
1303683495.591618	-68
1303683495.598453	-69
1303683495.598882	-68
1303683495.599300	-74
1303683495.599681	-94
1303683495.606404	-140
1303683495.606816	-206
1303683495.607407	-258
1303683495.607733	-267
1303683495.608056	-261
1303683495.614657	-259
1303683495.614931	-270
1303683495.615236	-291
1303683495.615499	-302
1303683495.622326	-316
1303683495.622801	-317
1303683495.623061	-302
1303683495.623426	-290
1303683495.623714	-277
1303683495.634416	-264
1303683495.634692	-250
1303683495.634967	-244
1303683495.635222	-258
1303683495.641809	-283
1303683495.642104	-306
1303683495.642439	-357
1303683495.642684	-374
1303683495.649494	-378
1303683495.649878	-374
1303683495.650383	-359
1303683495.650782	-330
1303683495.657379	-289
1303683495.657685	-217
1303683495.665732	-126
1303683495.665962	-56
1303683495.666177	-36
1303683495.670637	-49
1303683495.670854	-52
1303683495.671089	-37
1303683495.671276	-27
1303683495.675965	-14
1303683495.676163	0
1303683495.676390	20
1303683495.676606	40
1303683495.678997	59
1303683495.686193	65
1303683495.686384	70
1303683495.686557	82
1303683495.687191	73
1303683495.695752	56
1303683495.695970	54
1303683495.696186	68
1303683495.696405	75
1303683495.696622	38
1303683495.703149	-35
1303683495.703373	-93
1303683495.703618	-125
1303683495.703966	-146
1303683495.711059	-186
1303683495.711265	-252
1303683495.711683	-300
1303683495.712799	-294
1303683495.713209	-263
1303683495.719748	-246
1303683495.719930	-227
1303683495.720109	-205
1303683495.720295	-204
1303683495.728877	-217
1303683495.729092	-236
1303683495.729558	-253
1303683495.729890	-274
1303683495.730095	-285
1303683495.736729	-282
1303683495.736934	-265
1303683495.737146	-264
1303683495.737352	-283
1303683495.744689	-289
1303683495.745443	-261
1303683495.745835	-222
1303683495.746093	-195
1303683495.746353	-177
1303683495.755050	-165
1303683495.755450	-146
1303683495.755721	-113
1303683495.755997	-77
