#timestamp	poorSignalLevel	lowAlpha	highAlpha	lowBeta	highBeta	lowGamma	highGamma	attention	meditation
1303683567.231390	0	12006400	9177856	9834752	13383936	5772032	13709056	60	75
1303683568.226654	0	8672773	6267653	14927111	13582853	13398784	7429888	51	77
1303683569.221503	0	11284992	10686464	14103808	5190400	5833984	3671552	43	66
1303683570.212085	26	15734528	3213568	9245952	12718848	5768448	6619648	43	66
1303683571.206584	0	4931328	7553024	13181696	11739392	9046784	4995072	56	57
1303683572.201523	0	6898944	10490880	855552	1320960	11994880	15618304	56	66
1303683573.196111	0	16196608	15347968	7674624	8595712	461056	8140800	56	67
1303683574.187124	0	2758144	5527296	11085568	16590592	3149056	3235328	63	83
1303683575.182093	0	13967360	10258432	6631936	11160576	14616576	10240	64	80
1303683576.179134	0	4481280	1853440	11082752	2165248	14027264	5058816	50	90
