#timestamp	rawEeg
1303683566.296991	45
1303683566.305790	54
1303683566.306004	54
1303683566.306180	29
1303683566.306714	0
1303683566.307716	-1
1303683566.314301	18
1303683566.314489	20
1303683566.314656	-2
1303683566.314822	-19
1303683566.323433	-20
1303683566.323834	-11
1303683566.324072	-3
1303683566.324258	12
1303683566.327756	17
1303683566.332229	1
1303683566.332402	-18
1303683566.332569	-25
1303683566.332735	-38
1303683566.341234	-40
1303683566.341532	-11
1303683566.341712	7
1303683566.341885	4
1303683566.342057	4
1303683566.350511	9
1303683566.350701	11
1303683566.351101	25
1303683566.351466	33
1303683566.357993	29
1303683566.358186	21
1303683566.358372	13
1303683566.358556	5
1303683566.360828	2
1303683566.367227	13
1303683566.367627	24
1303683566.367817	22
1303683566.368001	7
1303683566.376559	9
1303683566.376969	52
1303683566.377380	89
1303683566.377693	66
1303683566.377936	34
1303683566.384359	41
1303683566.384952	57
1303683566.385322	60
1303683566.385601	58
1303683566.394353	69
1303683566.394734	91
1303683566.394958	105
1303683566.395148	115
1303683566.395330	98
1303683566.401962	65
1303683566.402246	55
1303683566.402699	43
1303683566.403039	19
1303683566.409804	12
1303683566.410357	39
1303683566.410786	38
1303683566.411133	7
1303683566.413620	0
1303683566.418160	21
1303683566.418462	53
1303683566.418806	88
1303683566.419065	146
1303683566.427665	185
1303683566.427968	152
1303683566.428294	66
1303683566.428692	26
1303683566.428982	40
1303683566.437762	52
1303683566.438106	42
1303683566.438366	24
1303683566.438651	4
1303683566.445401	-3
1303683566.445889	17
1303683566.446348	52
1303683566.448684	60
1303683566.448922	20
1303683566.453396	-11
1303683566.453654	-8
1303683566.453928	-3
1303683566.454198	6
1303683566.462893	24
1303683566.463176	41
1303683566.463457	56
1303683566.463929	76
1303683566.464197	69
1303683566.470935	48
1303683566.471386	40
1303683566.471904	37
1303683566.474229	64
1303683566.480947	105
1303683566.481243	114
1303683566.481673	59
1303683566.481921	-2
1303683566.482201	-6
1303683566.488705	19
1303683566.488933	37
1303683566.489222	19
1303683566.489489	-7
1303683566.498005	-17
1303683566.498357	-8
1303683566.498674	10
1303683566.498941	27
1303683566.499222	5
1303683566.507725	-41
1303683566.508011	-68
1303683566.508277	-66
1303683566.508555	-57
1303683566.515204	-59
1303683566.515493	-49
1303683566.515769	-13
1303683566.516583	9
1303683566.519192	23
1303683566.523836	45
1303683566.524693	52
1303683566.524967	10
1303683566.525221	-37
1303683566.531987	-42
1303683566.532568	-22
1303683566.532808	-4
1303683566.533095	-4
1303683566.535433	-24
1303683566.541982	-41
1303683566.542259	-42
1303683566.542554	-46
1303683566.542753	-41
1303683566.551339	-10
1303683566.551729	6
1303683566.551987	0
1303683566.552273	-5
1303683566.552555	-9
1303683566.559106	-11
1303683566.559570	-4
1303683566.559857	20
1303683566.560066	34
1303683566.566998	34
1303683566.567204	39
1303683566.567403	38
1303683566.567602	18
1303683566.569894	1
1303683566.576339	5
1303683566.576540	21
1303683566.576739	32
1303683566.577951	35
1303683566.586525	32
1303683566.586727	42
1303683566.586940	74
1303683566.587370	83
1303683566.587813	51
1303683566.594230	32
1303683566.594656	58
1303683566.594857	80
1303683566.595054	70
1303683566.602074	57
1303683566.602286	58
1303683566.602484	68
1303683566.602681	44
1303683566.604967	24
1303683566.611377	4
1303683566.611579	4
1303683566.612029	17
1303683566.612573	21
1303683566.621406	22
1303683566.621733	19
1303683566.622045	6
1303683566.622363	7
1303683566.622680	12
1303683566.629112	20
1303683566.629291	23
1303683566.629459	-1
1303683566.629627	-33
1303683566.638241	-34
1303683566.638557	0
1303683566.638868	27
1303683566.639327	12
1303683566.646601	-3
1303683566.646918	-10
1303683566.647281	-23
1303683566.647614	-26
1303683566.656197	-33
1303683566.656512	-50
1303683566.656824	-75
1303683566.657226	-74
1303683566.657543	-52
1303683566.664534	-29
1303683566.664827	-13
1303683566.667597	4
1303683566.668141	0
1303683566.672584	-5
1303683566.672839	10
1303683566.673116	12
1303683566.673448	-1
1303683566.673744	9
1303683566.682528	5
1303683566.682843	-3
1303683566.683131	3
1303683566.683399	9
1303683566.694399	21
1303683566.694800	19
1303683566.695200	10
1303683566.695625	4
1303683566.695996	3
1303683566.698675	23
1303683566.698965	49
1303683566.699242	49
1303683566.699525	39
1303683566.708188	33
1303683566.708609	13
1303683566.708858	-3
1303683566.709138	-7
1303683566.709399	1
1303683566.716042	25
1303683566.716678	57
1303683566.717018	86
1303683566.717301	98
1303683566.726131	103
1303683566.726594	104
1303683566.727050	89
1303683566.728094	50
1303683566.728462	20
1303683566.733084	25
1303683566.733401	41
1303683566.733791	52
1303683566.736727	54
1303683566.744216	67
1303683566.744769	83
1303683566.745148	81
1303683566.745536	58
1303683566.745931	42
1303683566.753537	27
1303683566.753967	6
1303683566.754329	0
1303683566.754728	12
1303683566.761324	33
1303683566.761625	26
1303683566.761897	16
1303683566.762170	19
1303683566.762689	27
1303683566.769354	32
1303683566.769698	20
1303683566.769918	-1
1303683566.770140	-27
1303683566.776927	-42
1303683566.777457	-27
1303683566.777955	-1
1303683566.778366	11
1303683566.778741	17
1303683566.785196	25
1303683566.785462	39
1303683566.785729	37
1303683566.785993	22
1303683566.794767	5
1303683566.795200	-2
1303683566.795722	0
1303683566.796249	7
1303683566.796578	32
1303683566.803145	66
1303683566.803434	68
1303683566.803699	41
1303683566.803966	9
1303683566.812793	-8
1303683566.813375	-3
1303683566.813608	12
1303683566.813816	28
1303683566.814039	51
1303683566.821605	53
1303683566.821885	49
1303683566.822133	42
1303683566.822650	44
1303683566.829117	54
1303683566.829368	60
1303683566.829633	54
1303683566.829997	22
1303683566.832325	6
1303683566.838906	7
1303683566.839182	6
1303683566.839610	37
1303683566.839876	65
1303683566.848736	55
1303683566.849015	29
1303683566.849284	20
1303683566.849566	26
1303683566.849816	28
1303683566.856261	26
1303683566.856737	9
1303683566.856997	-4
1303683566.857247	10
1303683566.864012	40
1303683566.864417	57
1303683566.864838	65
1303683566.873512	12
1303683566.873758	25
1303683566.874017	48
1303683566.874322	40
1303683566.883058	29
1303683566.883411	16
1303683566.883776	22
1303683566.884100	32
1303683566.884367	19
1303683566.891049	0
1303683566.891427	-11
1303683566.891910	-3
1303683566.892233	6
1303683566.899001	-4
1303683566.899863	17
1303683566.900125	67
1303683566.900348	75
1303683566.902786	36
1303683566.909329	13
1303683566.909700	39
1303683566.909947	67
1303683566.910201	38
1303683566.916905	-9
1303683566.917473	-28
1303683566.917733	-24
1303683566.918013	-19
1303683566.920361	-19
1303683566.924971	-7
1303683566.925489	8
1303683566.925775	19
1303683566.926026	20
1303683566.934763	8
1303683566.935035	9
1303683566.935315	22
1303683566.935623	34
1303683566.935890	43
1303683566.943754	59
1303683566.944054	53
1303683566.944306	21
1303683566.944568	2
1303683566.953767	10
1303683566.954143	37
1303683566.954510	40
