#timestamp	rawEeg
1303683316.494792	-35
1303683316.495359	-22
1303683316.504806	-19
1303683316.505095	-22
1303683316.505378	-21
1303683316.505643	-13
1303683316.512141	-20
1303683316.512540	-33
1303683316.512854	-40
1303683316.513116	-38
1303683316.513391	-22
1303683316.521175	-2
1303683316.521549	19
1303683316.521801	33
1303683316.522069	33
1303683316.528882	26
1303683316.531380	23
1303683316.531817	8
1303683316.532093	-6
1303683316.532651	-12
1303683316.538094	-4
1303683316.538580	12
1303683316.538819	33
1303683316.539108	34
1303683316.546445	18
1303683316.546709	18
1303683316.547681	28
1303683316.548077	40
1303683316.548461	50
1303683316.556878	56
1303683316.557205	59
1303683316.557520	57
1303683316.557831	56
1303683316.564393	56
1303683316.564711	53
1303683316.565024	45
1303683316.565344	38
1303683316.565663	32
1303683316.572876	29
1303683316.573556	40
1303683316.573887	67
1303683316.574324	87
1303683316.581098	91
1303683316.581420	89
1303683316.581762	89
1303683316.582084	90
1303683316.584495	84
1303683316.589115	66
1303683316.589439	52
1303683316.589760	44
1303683316.590068	43
1303683316.598637	53
1303683316.598948	73
1303683316.599266	87
1303683316.599577	74
1303683316.602005	52
1303683316.608633	40
1303683316.608948	42
1303683316.609271	38
1303683316.609582	27
1303683316.617565	26
1303683316.617887	39
1303683316.618211	59
1303683316.618539	74
1303683316.618863	69
1303683316.625746	54
1303683316.626070	42
1303683316.627008	34
1303683316.627403	16
1303683316.633948	-6
1303683316.634271	-12
1303683316.634586	-9
1303683316.634895	-4
1303683316.637286	1
1303683316.642155	9
1303683316.642473	13
1303683316.642795	13
1303683316.643109	6
1303683316.651716	-10
1303683316.652032	-28
1303683316.652353	-28
1303683316.652663	-19
1303683316.655317	3
1303683316.659798	24
1303683316.660115	35
1303683316.660437	33
1303683316.660751	25
1303683316.669398	13
1303683316.669755	2
1303683316.670067	-4
1303683316.670387	-5
1303683316.670704	-3
1303683316.677278	0
1303683316.677590	9
1303683316.677912	33
1303683316.678228	41
1303683316.687628	37
1303683316.687957	29
1303683316.688257	24
1303683316.688571	10
1303683316.688869	1
1303683316.695304	1
1303683316.695806	5
1303683316.696110	18
1303683316.696390	41
1303683316.703182	54
1303683316.703610	52
1303683316.703880	48
1303683316.704138	41
1303683316.706461	29
1303683316.713106	22
1303683316.713591	29
1303683316.713860	48
1303683316.714124	55
1303683316.720801	58
1303683316.721054	75
1303683316.728875	91
1303683316.729291	89
1303683316.729519	70
1303683316.732148	61
1303683316.732352	56
1303683316.732551	45
1303683316.732759	25
1303683316.739242	3
1303683316.739447	-20
1303683316.739644	-39
1303683316.739845	-29
1303683316.740471	7
1303683316.747061	53
1303683316.747268	69
1303683316.747467	58
1303683316.747665	50
1303683316.756125	61
1303683316.756326	83
1303683316.756524	102
1303683316.756729	124
1303683316.758998	145
1303683316.765608	136
1303683316.765808	112
1303683316.766006	96
1303683316.766224	80
1303683316.772993	69
1303683316.773201	82
1303683316.773400	105
1303683316.773598	122
1303683316.776791	130
1303683316.783508	123
1303683316.783694	107
1303683316.783878	85
1303683316.784058	57
1303683316.790846	33
1303683316.791197	10
1303683316.793663	-5
1303683316.793847	-10
1303683316.794067	-2
1303683316.799387	17
1303683316.799645	37
1303683316.799893	44
1303683316.800306	39
1303683316.809909	17
1303683316.810274	-11
1303683316.810601	-24
1303683316.810925	-23
1303683316.811247	-23
1303683316.817835	-20
1303683316.818159	-4
1303683316.818476	17
1303683316.818786	33
1303683316.827368	29
1303683316.827679	11
1303683316.827989	1
1303683316.828303	-6
1303683316.828613	-19
1303683316.835815	-22
1303683316.836105	-19
1303683316.836398	-9
1303683316.836666	3
1303683316.843128	21
1303683316.843369	38
1303683316.843583	40
1303683316.843790	28
1303683316.846113	8
1303683316.852540	-14
1303683316.852859	-21
1303683316.853178	-6
1303683316.853490	9
